gene_id,E2_rep1,E2_rep2,untr_rep1,untr_rep2
ENSG00000104835.10,308,196,243,256
ENSG00000130699.12,1449,1301,1070,1039
ENSG00000171596.6,1,3,1,1
ENSG00000176605.3,1,0,0,1
ENSG00000161583.12,24,20,13,10
ENSG00000176973.7,690,147,216,492
ENSG00000102038.11,9,7,8,6
ENSG00000035687.9,1715,1730,1472,1472
ENSG00000059769.15,221,327,218,350
ENSG00000170465.9,0,1,0,2
ENSG00000107815.3,1839,1426,469,414
ENSG00000068394.9,638,524,571,471
ENSG00000198914.2,0,0,1,1
ENSG00000014123.9,1471,1320,1658,1641
ENSG00000254647.2,1,0,1,0
ENSG00000105255.6,45,57,45,41
ENSG00000177156.6,2960,2460,2398,1964
ENSG00000100092.16,586,369,489,531
ENSG00000159479.12,393,258,309,254
ENSG00000112511.13,216,198,244,182
ENSG00000214681.3,0,0,0,0
ENSG00000186827.6,1,2,1,2
ENSG00000168538.11,848,727,867,732
ENSG00000132507.13,6441,5386,4801,4468
ENSG00000142327.7,879,503,723,621
ENSG00000142615.7,0,0,0,0
ENSG00000159915.8,3,1,1,3
ENSG00000112761.14,2,3,2,3
ENSG00000101311.11,117,100,83,65
ENSG00000226761.3,0,0,0,0
ENSG00000178297.8,124,114,99,102
ENSG00000197459.2,93,67,86,82
ENSG00000100304.12,2730,2305,2068,1847
ENSG00000143248.8,75,66,108,63
ENSG00000198198.9,456,434,433,370
ENSG00000144504.11,604,299,396,300
ENSG00000164116.12,12,40,8,19
ENSG00000062194.11,2130,1872,1920,1443
ENSG00000146469.8,0,0,0,0
ENSG00000146197.7,18,30,37,21
ENSG00000213246.2,1974,1367,1590,1528
ENSG00000021826.10,24,43,39,30
ENSG00000147027.3,102,79,111,102
ENSG00000160951.3,5,8,7,5
ENSG00000142507.5,1302,1034,1129,946
ENSG00000174013.7,1916,1822,1491,1402
ENSG00000170419.6,3,2,2,4
ENSG00000186458.4,0,1,1,0
ENSG00000125107.12,6401,5620,5681,4874
ENSG00000173366.11,21,2,11,6
ENSG00000204532.2,6,4,5,5
ENSG00000131748.11,604,495,439,467
ENSG00000181817.5,286,267,265,198
ENSG00000144554.6,1277,990,1323,1121
ENSG00000120784.11,104,10,143,367
ENSG00000162972.6,249,254,263,201
ENSG00000157554.14,54,88,51,60
ENSG00000117308.10,436,354,396,367
ENSG00000089639.6,558,471,434,363
ENSG00000121274.8,694,611,548,556
ENSG00000148411.3,1006,1065,835,680
ENSG00000205944.7,1,1,1,1
ENSG00000106069.16,25,25,46,57
ENSG00000162623.11,237,290,261,286
ENSG00000100478.10,59,89,80,50
ENSG00000153993.9,216,152,157,130
ENSG00000170889.9,10312,8549,8251,15937
ENSG00000182185.14,593,766,606,401
ENSG00000105695.10,22,14,7,5
ENSG00000115762.12,2388,3063,3821,5029
ENSG00000176239.7,0,0,0,0
ENSG00000167513.4,1926,1659,1590,1388
ENSG00000106327.8,15,14,12,6
ENSG00000160401.10,3,0,0,4
ENSG00000092531.5,828,610,537,513
ENSG00000176928.4,13,17,30,32
ENSG00000119888.6,4562,4215,4348,3763
ENSG00000177383.3,1665,1392,1540,1447
ENSG00000162542.9,285,319,314,139
ENSG00000165659.12,919,1274,1276,1254
ENSG00000016864.12,229,128,170,191
ENSG00000268423.1,0,0,0,0
ENSG00000121310.12,641,256,309,308
ENSG00000129455.11,0,0,0,0
ENSG00000136206.3,148,134,91,113
ENSG00000225932.3,72,63,88,74
ENSG00000169605.5,0,0,1,1
ENSG00000141497.9,32,46,47,26
ENSG00000067840.8,261,220,200,210
ENSG00000219481.6,4952,4309,2108,1761
ENSG00000150773.6,2,4,0,7
ENSG00000143033.13,555,305,454,387
ENSG00000106410.10,1,0,1,0
ENSG00000033030.9,1098,914,951,790
ENSG00000170037.9,688,651,651,363
ENSG00000141255.8,15,27,20,31
ENSG00000161896.6,5,3,2,6
ENSG00000111269.2,748,691,613,606
