"logFC" "logCPM" "PValue" "FDR"
"ENSG00000181788.3" 1.83924000036074 6.94294558527073 5.40559923842114e-15 2.75015266853914e-12
"ENSG00000107562.12" 4.62554498700886 4.15140789619945 2.53882201289005e-14 1.24197219930571e-11
"ENSG00000179388.8" 3.23515188072522 4.3845627049451 3.22635206589643e-14 1.51985081207914e-11
"ENSG00000110092.3" 1.75560892926097 9.70960849578905 7.90784798381422e-14 3.59213994664761e-11
"ENSG00000137801.9" 1.71589574651581 8.50249397859905 1.31223720677178e-13 5.75529139066562e-11
"ENSG00000180834.3" 2.30587901936784 5.70923763732785 1.58724419672292e-13 6.72938631270626e-11
"ENSG00000082175.10" 4.13674942999996 3.57625417006915 3.82333164663412e-13 1.5686759746303e-10
"ENSG00000111799.16" 1.8333081540513 7.09696288860859 4.2816477982655e-13 1.70182119831684e-10
"ENSG00000174136.7" -2.84530436902217 4.89110539083733 4.62855002491753e-13 1.73745080125908e-10
"ENSG00000054598.5" 2.96370250872781 4.5080432262631 4.64449463344671e-13 1.73745080125908e-10
"ENSG00000172575.7" 2.92678545976265 4.45051581721995 8.27971535695778e-13 3.00884856071846e-10
"ENSG00000117394.15" 1.7121461510612 7.62201438949775 1.71310956086142e-12 6.05251125127676e-10
"ENSG00000131759.13" 1.70919396570733 7.51416949250527 1.94226250191557e-12 6.67665858428762e-10
"ENSG00000237330.2" 2.05581918285163 5.60571223314562 5.01050488228759e-12 1.67706872625831e-09
"ENSG00000175792.7" 1.94369350295788 7.90596554019439 8.77985084038957e-12 2.86335699586961e-09
"ENSG00000175591.7" 1.62369903966118 6.82302782711302 1.06749388336321e-11 3.39436367562416e-09
"ENSG00000141753.5" 1.56818527235457 8.14453166894567 2.0722017174257e-11 6.42837405949694e-09
"ENSG00000099860.4" 1.80974861419101 5.98356922017689 7.03579883858346e-11 2.13067441495102e-08
"ENSG00000141580.11" -1.55980409105395 7.62214830553756 8.73783431737612e-11 2.58457010890016e-08
"ENSG00000163659.8" 1.80877965620844 5.85686185656103 1.61925572157533e-10 4.6807530733447e-08
"ENSG00000185532.10" 1.99674436357184 5.34056343722341 1.74482853452689e-10 4.93166091792167e-08
"ENSG00000176834.9" -1.54550263138545 7.03402501932128 2.86374337675083e-10 7.91825043671604e-08
"ENSG00000129993.10" 1.72239881945434 7.93480105284877 3.87533050393784e-10 1.04873039743799e-07
"ENSG00000005187.7" -3.05306491255352 3.9409359542712 5.64074645286394e-10 1.49468029445784e-07
"ENSG00000198959.7" 3.40414574427558 3.07311809022458 8.55387131822676e-10 2.22034059788829e-07
"ENSG00000197375.8" 1.50117636720562 7.06044238833344 1.04086233973992e-09 2.59836135011135e-07
"ENSG00000074410.9" 1.94565931084975 8.55463657645073 1.0418777329639e-09 2.59836135011135e-07
"ENSG00000253626.2" 2.65921566140626 4.54008160296969 1.16817403756296e-09 2.85730876610833e-07
"ENSG00000158055.11" -1.93364225105497 5.29252022245301 1.27921211497147e-09 3.06986771515513e-07
"ENSG00000108375.8" -2.35814168906156 4.57151893185426 1.40867713408855e-09 3.31795638305041e-07
"ENSG00000196159.7" 1.8703753065642 5.37270702329675 1.47527135652651e-09 3.41163206975649e-07
"ENSG00000141568.15" -1.38641908798878 7.94517530847708 1.9607743131031e-09 4.45340865863543e-07
"ENSG00000107815.3" 1.69835818836901 5.82164128688051 3.40470133171195e-09 7.5972624979025e-07
"ENSG00000185950.7" 1.8914210719884 5.23449225269783 3.82331332887784e-09 8.38426245344781e-07
"ENSG00000129521.9" -1.72885372874954 6.55379701192464 4.33569553064733e-09 9.34673075496668e-07
"ENSG00000175920.11" 3.02625015570882 4.14484831683425 4.68892109182141e-09 9.93973122781276e-07
"ENSG00000115268.5" -1.43219688884453 7.02898036295077 5.46781604543925e-09 1.14008446363839e-06
"ENSG00000185697.12" 2.2801112424145 4.9476263271245 8.87542868859576e-09 1.82075124984273e-06
