"E2up_split"
"ENSG00000008083.9" "ENSG00000008083"
"ENSG00000108021.15" "ENSG00000108021"
"ENSG00000128881.12" "ENSG00000128881"
"ENSG00000162413.12" "ENSG00000162413"
"ENSG00000162641.14" "ENSG00000162641"
"ENSG00000166821.4" "ENSG00000166821"
"ENSG00000180185.7" "ENSG00000180185"
"ENSG00000176619.6" "ENSG00000176619"
"ENSG00000197852.8" "ENSG00000197852"
"ENSG00000157800.13" "ENSG00000157800"
"ENSG00000165732.8" "ENSG00000165732"
"ENSG00000140526.12" "ENSG00000140526"
"ENSG00000052749.9" "ENSG00000052749"
"ENSG00000244242.1" "ENSG00000244242"
"ENSG00000103064.9" "ENSG00000103064"
"ENSG00000110583.8" "ENSG00000110583"
"ENSG00000166016.4" "ENSG00000166016"
"ENSG00000087510.5" "ENSG00000087510"
"ENSG00000013619.9" "ENSG00000013619"
"ENSG00000072849.6" "ENSG00000072849"
"ENSG00000135547.4" "ENSG00000135547"
"ENSG00000165806.15" "ENSG00000165806"
"ENSG00000056972.14" "ENSG00000056972"
"ENSG00000186086.12" "ENSG00000186086"
"ENSG00000101361.10" "ENSG00000101361"
"ENSG00000112578.5" "ENSG00000112578"
"ENSG00000055483.15" "ENSG00000055483"
"ENSG00000178202.8" "ENSG00000178202"
"ENSG00000135549.10" "ENSG00000135549"
"ENSG00000123066.3" "ENSG00000123066"
"ENSG00000142619.4" "ENSG00000142619"
"ENSG00000196372.8" "ENSG00000196372"
"ENSG00000255073.4" "ENSG00000255073"
"ENSG00000145220.9" "ENSG00000145220"
"ENSG00000136379.7" "ENSG00000136379"
"ENSG00000136883.8" "ENSG00000136883"
"ENSG00000104689.5" "ENSG00000104689"
"ENSG00000197321.10" "ENSG00000197321"
"ENSG00000198853.7" "ENSG00000198853"
"ENSG00000139289.9" "ENSG00000139289"
"ENSG00000155438.7" "ENSG00000155438"
"ENSG00000131746.8" "ENSG00000131746"
"ENSG00000135063.13" "ENSG00000135063"
"ENSG00000156398.8" "ENSG00000156398"
"ENSG00000132382.10" "ENSG00000132382"
"ENSG00000247626.3" "ENSG00000247626"
"ENSG00000179862.5" "ENSG00000179862"
"ENSG00000141905.13" "ENSG00000141905"
"ENSG00000092020.6" "ENSG00000092020"
"ENSG00000143228.8" "ENSG00000143228"
"ENSG00000179542.11" "ENSG00000179542"
"ENSG00000135821.12" "ENSG00000135821"
"ENSG00000173227.9" "ENSG00000173227"
"ENSG00000188997.3" "ENSG00000188997"
"ENSG00000134815.14" "ENSG00000134815"
"ENSG00000090447.7" "ENSG00000090447"
"ENSG00000135951.10" "ENSG00000135951"
"ENSG00000116774.7" "ENSG00000116774"
"ENSG00000136856.13" "ENSG00000136856"
